,Provinsi,Buah,Produksi,Tahun
1289,SULAWESI BARAT,Nangka,6964.0,2016
1290,MALUKU,Nangka,4101.0,2016
1291,MALUKU UTARA,Nangka,2075.0,2016
1292,PAPUA BARAT,Nangka,122.0,2016
1293,PAPUA,Nangka,898.0,2016
1294,INDONESIA,Nangka,654914.0,2016
1295,ACEH,Nenas,649.0,2016
1296,SUMATERA UTARA,Nenas,163504.0,2016
1297,SUMATERA BARAT,Nenas,194.0,2016
1298,RIAU,Nenas,94129.0,2016
1299,JAMBI,Nenas,66094.0,2016
1300,SUMATERA SELATAN,Nenas,57291.0,2016
1301,BENGKULU,Nenas,156.0,2016
1302,LAMPUNG,Nenas,453812.0,2016
1303,KEP. BANGKA BELITUNG,Nenas,5266.0,2016
1304,KEP. RIAU,Nenas,932.0,2016
1305,DKI JAKARTA,Nenas,0.0,2016
1306,JAWA BARAT,Nenas,209348.0,2016
1307,JAWA TENGAH,Nenas,102426.0,2016
1308,DI YOGYAKARTA,Nenas,350.0,2016
1309,JAWA TIMUR,Nenas,65102.0,2016
1310,BANTEN,Nenas,259.0,2016
1311,BALI,Nenas,569.0,2016
1312,NUSA TENGGARA BARAT,Nenas,75640.0,2016
1313,NUSA TENGGARA TIMUR,Nenas,5224.0,2016
1314,KALIMANTAN BARAT,Nenas,34951.0,2016
1315,KALIMANTAN TENGAH,Nenas,7466.0,2016
1316,KALIMANTAN SELATAN,Nenas,15652.0,2016
1317,KALIMANTAN TIMUR,Nenas,9373.0,2016
1318,KALIMANTAN UTARA,Nenas,261.0,2016
1319,SULAWESI UTARA,Nenas,14407.0,2016
1320,SULAWESI TENGAH,Nenas,7889.0,2016
1321,SULAWESI SELATAN,Nenas,1494.0,2016
1322,SULAWESI TENGGARA,Nenas,1165.0,2016
1323,GORONTALO,Nenas,217.0,2016
1324,SULAWESI BARAT,Nenas,907.0,2016
1325,MALUKU,Nenas,813.0,2016
1326,MALUKU UTARA,Nenas,215.0,2016
1327,PAPUA BARAT,Nenas,44.0,2016
1328,PAPUA,Nenas,354.0,2016
1329,INDONESIA,Nenas,1396153.0,2016
1330,ACEH,Pepaya,12798.0,2016
1331,SUMATERA UTARA,Pepaya,20234.0,2016
1332,SUMATERA BARAT,Pepaya,25143.0,2016
1333,RIAU,Pepaya,12158.0,2016
1334,JAMBI,Pepaya,18985.0,2016
1335,SUMATERA SELATAN,Pepaya,20214.0,2016
1336,BENGKULU,Pepaya,5053.0,2016
1337,LAMPUNG,Pepaya,88107.0,2016
1338,KEP. BANGKA BELITUNG,Pepaya,2335.0,2016
1339,KEP. RIAU,Pepaya,1659.0,2016
1340,DKI JAKARTA,Pepaya,339.0,2016
1341,JAWA BARAT,Pepaya,86576.0,2016
1342,JAWA TENGAH,Pepaya,139028.0,2016
1343,DI YOGYAKARTA,Pepaya,14756.0,2016
1344,JAWA TIMUR,Pepaya,235370.0,2016
1345,BANTEN,Pepaya,8262.0,2016
1346,BALI,Pepaya,5085.0,2016
1347,NUSA TENGGARA BARAT,Pepaya,7779.0,2016
1348,NUSA TENGGARA TIMUR,Pepaya,63201.0,2016
1349,KALIMANTAN BARAT,Pepaya,9786.0,2016
1350,KALIMANTAN TENGAH,Pepaya,2206.0,2016
1351,KALIMANTAN SELATAN,Pepaya,3841.0,2016
1352,KALIMANTAN TIMUR,Pepaya,14572.0,2016
1353,KALIMANTAN UTARA,Pepaya,8547.0,2016
1354,SULAWESI UTARA,Pepaya,6877.0,2016
1355,SULAWESI TENGAH,Pepaya,10503.0,2016
1356,SULAWESI SELATAN,Pepaya,51189.0,2016
1357,SULAWESI TENGGARA,Pepaya,7867.0,2016
1358,GORONTALO,Pepaya,923.0,2016
1359,SULAWESI BARAT,Pepaya,8062.0,2016
1360,MALUKU,Pepaya,10002.0,2016
1361,MALUKU UTARA,Pepaya,1390.0,2016
1362,PAPUA BARAT,Pepaya,156.0,2016
1363,PAPUA,Pepaya,1281.0,2016
1364,INDONESIA,Pepaya,904284.0,2016
1365,ACEH,Pisang,72527.0,2016
1366,SUMATERA UTARA,Pisang,137886.0,2016
1367,SUMATERA BARAT,Pisang,144828.0,2016
1368,RIAU,Pisang,25163.0,2016
1369,JAMBI,Pisang,50375.0,2016
1370,SUMATERA SELATAN,Pisang,91997.0,2016
1371,BENGKULU,Pisang,31809.0,2016
1372,LAMPUNG,Pisang,1517004.0,2016
1373,KEP. BANGKA BELITUNG,Pisang,3522.0,2016
1374,KEP. RIAU,Pisang,3837.0,2016
1375,DKI JAKARTA,Pisang,1957.0,2016
1376,JAWA BARAT,Pisang,1204084.0,2016
1377,JAWA TENGAH,Pisang,591648.0,2016
1378,DI YOGYAKARTA,Pisang,53822.0,2016
1379,JAWA TIMUR,Pisang,1865772.0,2016
1380,BANTEN,Pisang,162853.0,2016
1381,BALI,Pisang,183210.0,2016
1382,NUSA TENGGARA BARAT,Pisang,75510.0,2016
1383,NUSA TENGGARA TIMUR,Pisang,140825.0,2016
1384,KALIMANTAN BARAT,Pisang,72848.0,2016
1385,KALIMANTAN TENGAH,Pisang,41794.0,2016
1386,KALIMANTAN SELATAN,Pisang,81606.0,2016
1387,KALIMANTAN TIMUR,Pisang,79343.0,2016
1388,KALIMANTAN UTARA,Pisang,19947.0,2016
1389,SULAWESI UTARA,Pisang,37414.0,2016
1390,SULAWESI TENGAH,Pisang,30594.0,2016
1391,SULAWESI SELATAN,Pisang,159789.0,2016
1392,SULAWESI TENGGARA,Pisang,34858.0,2016
1393,GORONTALO,Pisang,8458.0,2016
1394,SULAWESI BARAT,Pisang,36207.0,2016
1395,MALUKU,Pisang,26843.0,2016
1396,MALUKU UTARA,Pisang,9667.0,2016
1397,PAPUA BARAT,Pisang,1533.0,2016
1398,PAPUA,Pisang,7595.0,2016
1399,INDONESIA,Pisang,7007125.0,2016
1400,ACEH,Rambutan,16479.0,2016
1401,SUMATERA UTARA,Rambutan,17802.0,2016
1402,SUMATERA BARAT,Rambutan,18609.0,2016
1403,RIAU,Rambutan,6280.0,2016
1404,JAMBI,Rambutan,5672.0,2016
1405,SUMATERA SELATAN,Rambutan,11050.0,2016
1406,BENGKULU,Rambutan,4535.0,2016
1407,LAMPUNG,Rambutan,20598.0,2016
1408,KEP. BANGKA BELITUNG,Rambutan,2128.0,2016
1409,KEP. RIAU,Rambutan,8556.0,2016
1410,DKI JAKARTA,Rambutan,941.0,2016
1411,JAWA BARAT,Rambutan,69669.0,2016
1412,JAWA TENGAH,Rambutan,81977.0,2016
1413,DI YOGYAKARTA,Rambutan,22726.0,2016
1414,JAWA TIMUR,Rambutan,97013.0,2016
1415,BANTEN,Rambutan,17367.0,2016
1416,BALI,Rambutan,14658.0,2016
1417,NUSA TENGGARA BARAT,Rambutan,14103.0,2016
1418,NUSA TENGGARA TIMUR,Rambutan,5427.0,2016
1419,KALIMANTAN BARAT,Rambutan,9670.0,2016
1420,KALIMANTAN TENGAH,Rambutan,11312.0,2016
1421,KALIMANTAN SELATAN,Rambutan,21646.0,2016
1422,KALIMANTAN TIMUR,Rambutan,14928.0,2016
1423,KALIMANTAN UTARA,Rambutan,5122.0,2016
1424,SULAWESI UTARA,Rambutan,3545.0,2016
1425,SULAWESI TENGAH,Rambutan,7403.0,2016
1426,SULAWESI SELATAN,Rambutan,38621.0,2016
1427,SULAWESI TENGGARA,Rambutan,10435.0,2016
1428,GORONTALO,Rambutan,440.0,2016
1429,SULAWESI BARAT,Rambutan,8775.0,2016
1430,MALUKU,Rambutan,2531.0,2016
1431,MALUKU UTARA,Rambutan,1702.0,2016
1432,PAPUA BARAT,Rambutan,253.0,2016
1433,PAPUA,Rambutan,220.0,2016
1434,INDONESIA,Rambutan,572193.0,2016
1435,ACEH,Salak,230.0,2016
1436,SUMATERA UTARA,Salak,118619.0,2016
1437,SUMATERA BARAT,Salak,1413.0,2016
1438,RIAU,Salak,2258.0,2016
1439,JAMBI,Salak,1052.0,2016
1440,SUMATERA SELATAN,Salak,2800.0,2016
1441,BENGKULU,Salak,996.0,2016
1442,LAMPUNG,Salak,3773.0,2016
1443,KEP. BANGKA BELITUNG,Salak,1047.0,2016
1444,KEP. RIAU,Salak,358.0,2016
1445,DKI JAKARTA,Salak,493.0,2016
1446,JAWA BARAT,Salak,17007.0,2016
1447,JAWA TENGAH,Salak,354770.0,2016
1448,DI YOGYAKARTA,Salak,77805.0,2016
1449,JAWA TIMUR,Salak,73741.0,2016
1450,BANTEN,Salak,1405.0,2016
1451,BALI,Salak,22220.0,2016
1452,NUSA TENGGARA BARAT,Salak,39.0,2016
1453,NUSA TENGGARA TIMUR,Salak,1107.0,2016
1454,KALIMANTAN BARAT,Salak,1109.0,2016
1455,KALIMANTAN TENGAH,Salak,728.0,2016
1456,KALIMANTAN SELATAN,Salak,677.0,2016
1457,KALIMANTAN TIMUR,Salak,7023.0,2016
1458,KALIMANTAN UTARA,Salak,539.0,2016
1459,SULAWESI UTARA,Salak,283.0,2016
1460,SULAWESI TENGAH,Salak,1419.0,2016
1461,SULAWESI SELATAN,Salak,7576.0,2016
1462,SULAWESI TENGGARA,Salak,459.0,2016
1463,GORONTALO,Salak,3.0,2016
1464,SULAWESI BARAT,Salak,339.0,2016
1465,MALUKU,Salak,581.0,2016
1466,MALUKU UTARA,Salak,182.0,2016
1467,PAPUA BARAT,Salak,107.0,2016
1468,PAPUA,Salak,192.0,2016
1469,INDONESIA,Salak,702350.0,2016
1470,ACEH,Sawo,3617.0,2016
1471,SUMATERA UTARA,Sawo,9002.0,2016
1472,SUMATERA BARAT,Sawo,7276.0,2016
1473,RIAU,Sawo,3315.0,2016
1474,JAMBI,Sawo,2887.0,2016
1475,SUMATERA SELATAN,Sawo,5757.0,2016
1476,BENGKULU,Sawo,1326.0,2016
1477,LAMPUNG,Sawo,16350.0,2016
1478,KEP. BANGKA BELITUNG,Sawo,855.0,2016
1479,KEP. RIAU,Sawo,579.0,2016
1480,DKI JAKARTA,Sawo,227.0,2016
1481,JAWA BARAT,Sawo,22242.0,2016
1482,JAWA TENGAH,Sawo,12731.0,2016
1483,DI YOGYAKARTA,Sawo,5928.0,2016
1484,JAWA TIMUR,Sawo,11855.0,2016
1485,BANTEN,Sawo,1642.0,2016
1486,BALI,Sawo,4091.0,2016
1487,NUSA TENGGARA BARAT,Sawo,11151.0,2016
1488,NUSA TENGGARA TIMUR,Sawo,845.0,2016
1489,KALIMANTAN BARAT,Sawo,2414.0,2016
1490,KALIMANTAN TENGAH,Sawo,2030.0,2016
1491,KALIMANTAN SELATAN,Sawo,1556.0,2016
1492,KALIMANTAN TIMUR,Sawo,1755.0,2016
1493,KALIMANTAN UTARA,Sawo,47.0,2016
1494,SULAWESI UTARA,Sawo,0.0,2016
1495,SULAWESI TENGAH,Sawo,372.0,2016
1496,SULAWESI SELATAN,Sawo,2102.0,2016
1497,SULAWESI TENGGARA,Sawo,215.0,2016
1498,GORONTALO,Sawo,1.0,2016
1499,SULAWESI BARAT,Sawo,109.0,2016
1500,MALUKU,Sawo,2.0,2016
1501,MALUKU UTARA,Sawo,0.0,2016
1502,PAPUA BARAT,Sawo,3.0,2016
1503,PAPUA,Sawo,2.0,2016
1504,INDONESIA,Sawo,132284.0,2016
1505,ACEH,Markisa,251.0,2016
1506,SUMATERA UTARA,Markisa,5325.0,2016
1507,SUMATERA BARAT,Markisa,84336.0,2016
1508,RIAU,Markisa,5.0,2016
1509,JAMBI,Markisa,19.0,2016
1510,SUMATERA SELATAN,Markisa,15.0,2016
1511,BENGKULU,Markisa,17.0,2016
1512,LAMPUNG,Markisa,34.0,2016
1513,KEP. BANGKA BELITUNG,Markisa,0.0,2016
1514,KEP. RIAU,Markisa,6.0,2016
1515,DKI JAKARTA,Markisa,0.0,2016
1516,JAWA BARAT,Markisa,102.0,2016
1517,JAWA TENGAH,Markisa,209.0,2016
1518,DI YOGYAKARTA,Markisa,110.0,2016
1519,JAWA TIMUR,Markisa,186.0,2016
1520,BANTEN,Markisa,21.0,2016
1521,BALI,Markisa,106.0,2016
1522,NUSA TENGGARA BARAT,Markisa,2.0,2016
1523,NUSA TENGGARA TIMUR,Markisa,37.0,2016
1524,KALIMANTAN BARAT,Markisa,4.0,2016
1525,KALIMANTAN TENGAH,Markisa,4.0,2016
1526,KALIMANTAN SELATAN,Markisa,0.0,2016
1527,KALIMANTAN TIMUR,Markisa,10.0,2016
1528,KALIMANTAN UTARA,Markisa,0.0,2016
1529,SULAWESI UTARA,Markisa,12.0,2016
1530,SULAWESI TENGAH,Markisa,0.0,2016
1531,SULAWESI SELATAN,Markisa,10933.0,2016
1532,SULAWESI TENGGARA,Markisa,4.0,2016
1533,GORONTALO,Markisa,0.0,2016
1534,SULAWESI BARAT,Markisa,210.0,2016
1535,MALUKU,Markisa,0.0,2016
1536,MALUKU UTARA,Markisa,0.0,2016
1537,PAPUA BARAT,Markisa,0.0,2016
1538,PAPUA,Markisa,6.0,2016
1539,INDONESIA,Markisa,101964.0,2016
1540,ACEH,Sirsak,498.0,2016
1541,SUMATERA UTARA,Sirsak,1107.0,2016
1542,SUMATERA BARAT,Sirsak,2635.0,2016
1543,RIAU,Sirsak,514.0,2016
1544,JAMBI,Sirsak,635.0,2016
1545,SUMATERA SELATAN,Sirsak,668.0,2016
1546,BENGKULU,Sirsak,188.0,2016
1547,LAMPUNG,Sirsak,1334.0,2016
1548,KEP. BANGKA BELITUNG,Sirsak,101.0,2016
1549,KEP. RIAU,Sirsak,74.0,2016
1550,DKI JAKARTA,Sirsak,59.0,2016
1551,JAWA BARAT,Sirsak,9698.0,2016
1552,JAWA TENGAH,Sirsak,7124.0,2016
1553,DI YOGYAKARTA,Sirsak,1638.0,2016
1554,JAWA TIMUR,Sirsak,14891.0,2016
1555,BANTEN,Sirsak,1931.0,2016
1556,BALI,Sirsak,184.0,2016
1557,NUSA TENGGARA BARAT,Sirsak,3049.0,2016
1558,NUSA TENGGARA TIMUR,Sirsak,2153.0,2016
1559,KALIMANTAN BARAT,Sirsak,525.0,2016
1560,KALIMANTAN TENGAH,Sirsak,493.0,2016
1561,KALIMANTAN SELATAN,Sirsak,1331.0,2016
1562,KALIMANTAN TIMUR,Sirsak,653.0,2016
1563,KALIMANTAN UTARA,Sirsak,154.0,2016
1564,SULAWESI UTARA,Sirsak,569.0,2016
1565,SULAWESI TENGAH,Sirsak,325.0,2016
1566,SULAWESI SELATAN,Sirsak,2065.0,2016
1567,SULAWESI TENGGARA,Sirsak,747.0,2016
1568,GORONTALO,Sirsak,23.0,2016
1569,SULAWESI BARAT,Sirsak,170.0,2016
1570,MALUKU,Sirsak,182.0,2016
1571,MALUKU UTARA,Sirsak,70.0,2016
1572,PAPUA BARAT,Sirsak,12.0,2016
1573,PAPUA,Sirsak,116.0,2016
1574,INDONESIA,Sirsak,55916.0,2016
1575,ACEH,Sukun,1279.0,2016
1576,SUMATERA UTARA,Sukun,661.0,2016
1577,SUMATERA BARAT,Sukun,1224.0,2016
1578,RIAU,Sukun,1091.0,2016
1579,JAMBI,Sukun,1813.0,2016
1580,SUMATERA SELATAN,Sukun,2249.0,2016
1581,BENGKULU,Sukun,265.0,2016
1582,LAMPUNG,Sukun,5618.0,2016
1583,KEP. BANGKA BELITUNG,Sukun,999.0,2016
1584,KEP. RIAU,Sukun,560.0,2016
1585,DKI JAKARTA,Sukun,307.0,2016
1586,JAWA BARAT,Sukun,15652.0,2016
1587,JAWA TENGAH,Sukun,23541.0,2016
1588,DI YOGYAKARTA,Sukun,10642.0,2016
1589,JAWA TIMUR,Sukun,13921.0,2016
1590,BANTEN,Sukun,5020.0,2016
1591,BALI,Sukun,382.0,2016
1592,NUSA TENGGARA BARAT,Sukun,533.0,2016
1593,NUSA TENGGARA TIMUR,Sukun,2462.0,2016
1594,KALIMANTAN BARAT,Sukun,878.0,2016
1595,KALIMANTAN TENGAH,Sukun,1477.0,2016
1596,KALIMANTAN SELATAN,Sukun,1251.0,2016
1597,KALIMANTAN TIMUR,Sukun,1683.0,2016
1598,KALIMANTAN UTARA,Sukun,562.0,2016
1599,SULAWESI UTARA,Sukun,310.0,2016
1600,SULAWESI TENGAH,Sukun,412.0,2016
1601,SULAWESI SELATAN,Sukun,8940.0,2016
1602,SULAWESI TENGGARA,Sukun,1483.0,2016
1603,GORONTALO,Sukun,1.0,2016
1604,SULAWESI BARAT,Sukun,705.0,2016
1605,MALUKU,Sukun,1733.0,2016
1606,MALUKU UTARA,Sukun,302.0,2016
1607,PAPUA BARAT,Sukun,154.0,2016
1608,PAPUA,Sukun,264.0,2016
1609,INDONESIA,Sukun,108374.0,2016
1610,ACEH,Melon,177.0,2016
1611,SUMATERA UTARA,Melon,594.0,2016
1612,SUMATERA BARAT,Melon,126.0,2016
1613,RIAU,Melon,1282.0,2016
1614,JAMBI,Melon,224.0,2016
1615,SUMATERA SELATAN,Melon,1076.0,2016
1616,BENGKULU,Melon,240.0,2016
1617,LAMPUNG,Melon,730.0,2016
1618,KEP. BANGKA BELITUNG,Melon,18.0,2016
1619,KEP. RIAU,Melon,0.0,2016
1620,DKI JAKARTA,Melon,0.0,2016
1621,JAWA BARAT,Melon,94.0,2016
1622,JAWA TENGAH,Melon,33542.0,2016
1623,DI YOGYAKARTA,Melon,21599.0,2016
1624,JAWA TIMUR,Melon,47091.0,2016
1625,BANTEN,Melon,208.0,2016
1626,BALI,Melon,463.0,2016
1627,NUSA TENGGARA BARAT,Melon,971.0,2016
1628,NUSA TENGGARA TIMUR,Melon,85.0,2016
1629,KALIMANTAN BARAT,Melon,97.0,2016
1630,KALIMANTAN TENGAH,Melon,352.0,2016
1631,KALIMANTAN SELATAN,Melon,101.0,2016
1632,KALIMANTAN TIMUR,Melon,324.0,2016
1633,KALIMANTAN UTARA,Melon,266.0,2016
1634,SULAWESI UTARA,Melon,16.0,2016
1635,SULAWESI TENGAH,Melon,1525.0,2016
1636,SULAWESI SELATAN,Melon,768.0,2016
1637,SULAWESI TENGGARA,Melon,198.0,2016
1638,GORONTALO,Melon,64.0,2016
1639,SULAWESI BARAT,Melon,8.0,2016
1640,MALUKU,Melon,148.0,2016
1641,MALUKU UTARA,Melon,24.0,2016
1642,PAPUA BARAT,Melon,931.0,2016
1643,PAPUA,Melon,4002.0,2016
1644,INDONESIA,Melon,117344.0,2016
1645,ACEH,Semangka,15522.0,2016
1646,SUMATERA UTARA,Semangka,41101.0,2016
1647,SUMATERA BARAT,Semangka,16927.0,2016
1648,RIAU,Semangka,17849.0,2016
1649,JAMBI,Semangka,3547.0,2016
1650,SUMATERA SELATAN,Semangka,20526.0,2016
1651,BENGKULU,Semangka,1622.0,2016
1652,LAMPUNG,Semangka,24951.0,2016
1653,KEP. BANGKA BELITUNG,Semangka,1503.0,2016
1654,KEP. RIAU,Semangka,3341.0,2016
1655,DKI JAKARTA,Semangka,0.0,2016
1656,JAWA BARAT,Semangka,17009.0,2016
1657,JAWA TENGAH,Semangka,60013.0,2016
1658,DI YOGYAKARTA,Semangka,9640.0,2016
1659,JAWA TIMUR,Semangka,129749.0,2016
1660,BANTEN,Semangka,1201.0,2016
1661,BALI,Semangka,16352.0,2016
1662,NUSA TENGGARA BARAT,Semangka,6562.0,2016
1663,NUSA TENGGARA TIMUR,Semangka,597.0,2016
1664,KALIMANTAN BARAT,Semangka,6045.0,2016
1665,KALIMANTAN TENGAH,Semangka,4364.0,2016
1666,KALIMANTAN SELATAN,Semangka,35444.0,2016
1667,KALIMANTAN TIMUR,Semangka,13945.0,2016
1668,KALIMANTAN UTARA,Semangka,508.0,2016
1669,SULAWESI UTARA,Semangka,490.0,2016
1670,SULAWESI TENGAH,Semangka,6873.0,2016
1671,SULAWESI SELATAN,Semangka,13255.0,2016
1672,SULAWESI TENGGARA,Semangka,1385.0,2016
1673,GORONTALO,Semangka,41.0,2016
1674,SULAWESI BARAT,Semangka,313.0,2016
1675,MALUKU,Semangka,924.0,2016
1676,MALUKU UTARA,Semangka,655.0,2016
1677,PAPUA BARAT,Semangka,1410.0,2016
1678,PAPUA,Semangka,7233.0,2016
1679,INDONESIA,Semangka,480897.0,2016
1680,ACEH,Blewah,11.0,2016
1681,SUMATERA UTARA,Blewah,0.0,2016
1682,SUMATERA BARAT,Blewah,0.0,2016
1683,RIAU,Blewah,0.0,2016
1684,JAMBI,Blewah,0.0,2016
1685,SUMATERA SELATAN,Blewah,276.0,2016
1686,BENGKULU,Blewah,0.0,2016
1687,LAMPUNG,Blewah,66.0,2016
1688,KEP. BANGKA BELITUNG,Blewah,0.0,2016
1689,KEP. RIAU,Blewah,0.0,2016
1690,DKI JAKARTA,Blewah,0.0,2016
1691,JAWA BARAT,Blewah,2909.0,2016
1692,JAWA TENGAH,Blewah,2269.0,2016
1693,DI YOGYAKARTA,Blewah,0.0,2016
1694,JAWA TIMUR,Blewah,13593.0,2016
1695,BANTEN,Blewah,78.0,2016
1696,BALI,Blewah,0.0,2016
1697,NUSA TENGGARA BARAT,Blewah,18.0,2016
1698,NUSA TENGGARA TIMUR,Blewah,0.0,2016
1699,KALIMANTAN BARAT,Blewah,21.0,2016
1700,KALIMANTAN TENGAH,Blewah,0.0,2016
1701,KALIMANTAN SELATAN,Blewah,5.0,2016
1702,KALIMANTAN TIMUR,Blewah,92.0,2016
1703,KALIMANTAN UTARA,Blewah,2.0,2016
1704,SULAWESI UTARA,Blewah,0.0,2016
1705,SULAWESI TENGAH,Blewah,0.0,2016
1706,SULAWESI SELATAN,Blewah,0.0,2016
1707,SULAWESI TENGGARA,Blewah,1.0,2016
1708,GORONTALO,Blewah,0.0,2016
1709,SULAWESI BARAT,Blewah,0.0,2016
1710,MALUKU,Blewah,0.0,2016
1711,MALUKU UTARA,Blewah,0.0,2016
1712,PAPUA BARAT,Blewah,0.0,2016
1713,PAPUA,Blewah,198.0,2016
1714,INDONESIA,Blewah,19539.0,2016
1715,ACEH,Apel,75.0,2016
1716,SUMATERA UTARA,Apel,0.0,2016
1717,SUMATERA BARAT,Apel,0.0,2016
1718,RIAU,Apel,0.0,2016
1719,JAMBI,Apel,0.0,2016
1720,SUMATERA SELATAN,Apel,0.0,2016
1721,BENGKULU,Apel,0.0,2016
1722,LAMPUNG,Apel,0.0,2016
1723,KEP. BANGKA BELITUNG,Apel,0.0,2016
1724,KEP. RIAU,Apel,0.0,2016
1725,DKI JAKARTA,Apel,0.0,2016
1726,JAWA BARAT,Apel,0.0,2016
1727,JAWA TENGAH,Apel,11.0,2016
1728,DI YOGYAKARTA,Apel,0.0,2016
1729,JAWA TIMUR,Apel,329066.0,2016
1730,BANTEN,Apel,0.0,2016
1731,BALI,Apel,0.0,2016
1732,NUSA TENGGARA BARAT,Apel,552.0,2016
1733,NUSA TENGGARA TIMUR,Apel,20.0,2016
1734,KALIMANTAN BARAT,Apel,0.0,2016
1735,KALIMANTAN TENGAH,Apel,0.0,2016
1736,KALIMANTAN SELATAN,Apel,0.0,2016
1737,KALIMANTAN TIMUR,Apel,0.0,2016
1738,KALIMANTAN UTARA,Apel,0.0,2016
1739,SULAWESI UTARA,Apel,0.0,2016
1740,SULAWESI TENGAH,Apel,0.0,2016
1741,SULAWESI SELATAN,Apel,55.0,2016
1742,SULAWESI TENGGARA,Apel,2.0,2016
1743,GORONTALO,Apel,0.0,2016
1744,SULAWESI BARAT,Apel,0.0,2016
1745,MALUKU,Apel,0.0,2016
1746,MALUKU UTARA,Apel,0.0,2016
1747,PAPUA BARAT,Apel,0.0,2016
1748,PAPUA,Apel,0.0,2016
1749,INDONESIA,Apel,329781.0,2016
1750,ACEH,Anggur,0.0,2016
1751,SUMATERA UTARA,Anggur,0.0,2016
1752,SUMATERA BARAT,Anggur,0.0,2016
1753,RIAU,Anggur,0.0,2016
1754,JAMBI,Anggur,0.0,2016
1755,SUMATERA SELATAN,Anggur,0.0,2016
1756,BENGKULU,Anggur,6.0,2016
1757,LAMPUNG,Anggur,0.0,2016
1758,KEP. BANGKA BELITUNG,Anggur,0.0,2016
1759,KEP. RIAU,Anggur,0.0,2016
1760,DKI JAKARTA,Anggur,0.0,2016
1761,JAWA BARAT,Anggur,0.0,2016
1762,JAWA TENGAH,Anggur,20.0,2016
1763,DI YOGYAKARTA,Anggur,0.0,2016
1764,JAWA TIMUR,Anggur,358.0,2016
1765,BANTEN,Anggur,0.0,2016
1766,BALI,Anggur,9107.0,2016
1767,NUSA TENGGARA BARAT,Anggur,5.0,2016
1768,NUSA TENGGARA TIMUR,Anggur,0.0,2016
1769,KALIMANTAN BARAT,Anggur,0.0,2016
1770,KALIMANTAN TENGAH,Anggur,0.0,2016
1771,KALIMANTAN SELATAN,Anggur,0.0,2016
1772,KALIMANTAN TIMUR,Anggur,0.0,2016
1773,KALIMANTAN UTARA,Anggur,0.0,2016
1774,SULAWESI UTARA,Anggur,0.0,2016
1775,SULAWESI TENGAH,Anggur,10.0,2016
1776,SULAWESI SELATAN,Anggur,1.0,2016
1777,SULAWESI TENGGARA,Anggur,0.0,2016
1778,GORONTALO,Anggur,0.0,2016
1779,SULAWESI BARAT,Anggur,0.0,2016
1780,MALUKU,Anggur,0.0,2016
1781,MALUKU UTARA,Anggur,0.0,2016
1782,PAPUA BARAT,Anggur,0.0,2016
1783,PAPUA,Anggur,0.0,2016
1784,INDONESIA,Anggur,9507.0,2016
1785,ACEH,Stroberi,0.0,2016
1786,SUMATERA UTARA,Stroberi,235.0,2016
1787,SUMATERA BARAT,Stroberi,13.0,2016
1788,RIAU,Stroberi,0.0,2016
1789,JAMBI,Stroberi,318.0,2016
1790,SUMATERA SELATAN,Stroberi,13.0,2016
1791,BENGKULU,Stroberi,34.0,2016
1792,LAMPUNG,Stroberi,0.0,2016
1793,KEP. BANGKA BELITUNG,Stroberi,0.0,2016
1794,KEP. RIAU,Stroberi,0.0,2016
1795,DKI JAKARTA,Stroberi,0.0,2016
1796,JAWA BARAT,Stroberi,7575.0,2016
1797,JAWA TENGAH,Stroberi,431.0,2016
1798,DI YOGYAKARTA,Stroberi,0.0,2016
1799,JAWA TIMUR,Stroberi,625.0,2016
1800,BANTEN,Stroberi,0.0,2016
1801,BALI,Stroberi,2173.0,2016
1802,NUSA TENGGARA BARAT,Stroberi,409.0,2016
1803,NUSA TENGGARA TIMUR,Stroberi,0.0,2016
1804,KALIMANTAN BARAT,Stroberi,0.0,2016
1805,KALIMANTAN TENGAH,Stroberi,0.0,2016
1806,KALIMANTAN SELATAN,Stroberi,0.0,2016
1807,KALIMANTAN TIMUR,Stroberi,0.0,2016
1808,KALIMANTAN UTARA,Stroberi,0.0,2016
1809,SULAWESI UTARA,Stroberi,0.0,2016
1810,SULAWESI TENGAH,Stroberi,0.0,2016
1811,SULAWESI SELATAN,Stroberi,264.0,2016
1812,SULAWESI TENGGARA,Stroberi,0.0,2016
1813,GORONTALO,Stroberi,0.0,2016
1814,SULAWESI BARAT,Stroberi,0.0,2016
1815,MALUKU,Stroberi,0.0,2016
1816,MALUKU UTARA,Stroberi,0.0,2016
1817,PAPUA BARAT,Stroberi,0.0,2016
1818,PAPUA,Stroberi,1.0,2016
1819,INDONESIA,Stroberi,12091.0,2016
1820,ACEH,Alpukat,8427.0,2017
1821,SUMATERA UTARA,Alpukat,15123.0,2017
1822,SUMATERA BARAT,Alpukat,50247.0,2017
1823,RIAU,Alpukat,653.0,2017
1824,JAMBI,Alpukat,2186.0,2017
1825,SUMATERA SELATAN,Alpukat,35178.0,2017
1826,BENGKULU,Alpukat,5066.0,2017
1827,LAMPUNG,Alpukat,13569.0,2017
1828,KEP. BANGKA BELITUNG,Alpukat,333.0,2017
1829,KEP. RIAU,Alpukat,79.0,2017
1830,DKI JAKARTA,Alpukat,469.0,2017
1831,JAWA BARAT,Alpukat,82663.0,2017
1832,JAWA TENGAH,Alpukat,36528.0,2017
