,Provinsi,Buah,Produksi,Tahun
78,KEP. BANGKA BELITUNG,Duku,602.0,2015
79,KEP. RIAU,Duku,34.0,2015
80,DKI JAKARTA,Duku,272.0,2015
81,JAWA BARAT,Duku,10012.0,2015
82,JAWA TENGAH,Duku,18032.0,2015
83,DI YOGYAKARTA,Duku,2124.0,2015
84,JAWA TIMUR,Duku,12708.0,2015
85,BANTEN,Duku,4933.0,2015
86,BALI,Duku,1229.0,2015
87,NUSA TENGGARA BARAT,Duku,553.0,2015
88,NUSA TENGGARA TIMUR,Duku,15.0,2015
89,KALIMANTAN BARAT,Duku,3214.0,2015
90,KALIMANTAN TENGAH,Duku,2814.0,2015
91,KALIMANTAN SELATAN,Duku,26918.0,2015
92,KALIMANTAN TIMUR,Duku,3222.0,2015
93,KALIMANTAN UTARA,Duku,1774.0,2015
94,SULAWESI UTARA,Duku,4808.0,2015
95,SULAWESI TENGAH,Duku,10876.0,2015
96,SULAWESI SELATAN,Duku,38473.0,2015
97,SULAWESI TENGGARA,Duku,10206.0,2015
98,GORONTALO,Duku,1146.0,2015
99,SULAWESI BARAT,Duku,12426.0,2015
100,MALUKU,Duku,5329.0,2015
101,MALUKU UTARA,Duku,2789.0,2015
102,PAPUA BARAT,Duku,676.0,2015
103,PAPUA,Duku,219.0,2015
104,INDONESIA,Duku,274319.0,2015
105,ACEH,Durian,16999.0,2015
106,SUMATERA UTARA,Durian,65529.0,2015
107,SUMATERA BARAT,Durian,52503.0,2015
108,RIAU,Durian,12366.0,2015
109,JAMBI,Durian,16140.0,2015
110,SUMATERA SELATAN,Durian,32561.0,2015
111,BENGKULU,Durian,17951.0,2015
112,LAMPUNG,Durian,46957.0,2015
113,KEP. BANGKA BELITUNG,Durian,5042.0,2015
114,KEP. RIAU,Durian,5460.0,2015
115,DKI JAKARTA,Durian,100.0,2015
116,JAWA BARAT,Durian,107110.0,2015
117,JAWA TENGAH,Durian,102452.0,2015
118,DI YOGYAKARTA,Durian,8356.0,2015
119,JAWA TIMUR,Durian,233715.0,2015
120,BANTEN,Durian,48546.0,2015
121,BALI,Durian,15254.0,2015
122,NUSA TENGGARA BARAT,Durian,14206.0,2015
123,NUSA TENGGARA TIMUR,Durian,1817.0,2015
124,KALIMANTAN BARAT,Durian,19041.0,2015
125,KALIMANTAN TENGAH,Durian,13191.0,2015
126,KALIMANTAN SELATAN,Durian,15418.0,2015
127,KALIMANTAN TIMUR,Durian,10173.0,2015
128,KALIMANTAN UTARA,Durian,3333.0,2015
129,SULAWESI UTARA,Durian,7464.0,2015
130,SULAWESI TENGAH,Durian,19962.0,2015
131,SULAWESI SELATAN,Durian,58518.0,2015
132,SULAWESI TENGGARA,Durian,9376.0,2015
133,GORONTALO,Durian,3079.0,2015
134,SULAWESI BARAT,Durian,13109.0,2015
135,MALUKU,Durian,15941.0,2015
136,MALUKU UTARA,Durian,2004.0,2015
137,PAPUA BARAT,Durian,1581.0,2015
138,PAPUA,Durian,481.0,2015
139,INDONESIA,Durian,995735.0,2015
140,ACEH,Jambu Biji,1492.0,2015
141,SUMATERA UTARA,Jambu Biji,8807.0,2015
142,SUMATERA BARAT,Jambu Biji,2531.0,2015
143,RIAU,Jambu Biji,3246.0,2015
144,JAMBI,Jambu Biji,1420.0,2015
145,SUMATERA SELATAN,Jambu Biji,2608.0,2015
146,BENGKULU,Jambu Biji,732.0,2015
147,LAMPUNG,Jambu Biji,3493.0,2015
148,KEP. BANGKA BELITUNG,Jambu Biji,259.0,2015
149,KEP. RIAU,Jambu Biji,187.0,2015
150,DKI JAKARTA,Jambu Biji,1153.0,2015
151,JAWA BARAT,Jambu Biji,46790.0,2015
152,JAWA TENGAH,Jambu Biji,48050.0,2015
153,DI YOGYAKARTA,Jambu Biji,3283.0,2015
154,JAWA TIMUR,Jambu Biji,28340.0,2015
155,BANTEN,Jambu Biji,3190.0,2015
156,BALI,Jambu Biji,1694.0,2015
157,NUSA TENGGARA BARAT,Jambu Biji,11403.0,2015
158,NUSA TENGGARA TIMUR,Jambu Biji,4754.0,2015
159,KALIMANTAN BARAT,Jambu Biji,1557.0,2015
160,KALIMANTAN TENGAH,Jambu Biji,1276.0,2015
161,KALIMANTAN SELATAN,Jambu Biji,1895.0,2015
162,KALIMANTAN TIMUR,Jambu Biji,1701.0,2015
163,KALIMANTAN UTARA,Jambu Biji,76.0,2015
164,SULAWESI UTARA,Jambu Biji,386.0,2015
165,SULAWESI TENGAH,Jambu Biji,647.0,2015
166,SULAWESI SELATAN,Jambu Biji,11977.0,2015
167,SULAWESI TENGGARA,Jambu Biji,979.0,2015
168,GORONTALO,Jambu Biji,114.0,2015
169,SULAWESI BARAT,Jambu Biji,159.0,2015
170,MALUKU,Jambu Biji,494.0,2015
171,MALUKU UTARA,Jambu Biji,327.0,2015
172,PAPUA BARAT,Jambu Biji,451.0,2015
173,PAPUA,Jambu Biji,280.0,2015
174,INDONESIA,Jambu Biji,195751.0,2015
175,ACEH,Jambu Air,2153.0,2015
176,SUMATERA UTARA,Jambu Air,6821.0,2015
177,SUMATERA BARAT,Jambu Air,1720.0,2015
178,RIAU,Jambu Air,1277.0,2015
179,JAMBI,Jambu Air,857.0,2015
180,SUMATERA SELATAN,Jambu Air,2262.0,2015
181,BENGKULU,Jambu Air,473.0,2015
182,LAMPUNG,Jambu Air,5009.0,2015
183,KEP. BANGKA BELITUNG,Jambu Air,366.0,2015
184,KEP. RIAU,Jambu Air,170.0,2015
185,DKI JAKARTA,Jambu Air,2300.0,2015
186,JAWA BARAT,Jambu Air,14366.0,2015
187,JAWA TENGAH,Jambu Air,19923.0,2015
188,DI YOGYAKARTA,Jambu Air,3075.0,2015
189,JAWA TIMUR,Jambu Air,14110.0,2015
190,BANTEN,Jambu Air,2455.0,2015
191,BALI,Jambu Air,540.0,2015
192,NUSA TENGGARA BARAT,Jambu Air,3589.0,2015
193,NUSA TENGGARA TIMUR,Jambu Air,1240.0,2015
194,KALIMANTAN BARAT,Jambu Air,1574.0,2015
195,KALIMANTAN TENGAH,Jambu Air,713.0,2015
196,KALIMANTAN SELATAN,Jambu Air,1088.0,2015
197,KALIMANTAN TIMUR,Jambu Air,837.0,2015
198,KALIMANTAN UTARA,Jambu Air,68.0,2015
199,SULAWESI UTARA,Jambu Air,138.0,2015
200,SULAWESI TENGAH,Jambu Air,702.0,2015
201,SULAWESI SELATAN,Jambu Air,2320.0,2015
202,SULAWESI TENGGARA,Jambu Air,828.0,2015
203,GORONTALO,Jambu Air,59.0,2015
204,SULAWESI BARAT,Jambu Air,168.0,2015
205,MALUKU,Jambu Air,625.0,2015
206,MALUKU UTARA,Jambu Air,480.0,2015
207,PAPUA BARAT,Jambu Air,70.0,2015
208,PAPUA,Jambu Air,173.0,2015
209,INDONESIA,Jambu Air,92549.0,2015
210,ACEH,Jeruk Siam,8165.0,2015
211,SUMATERA UTARA,Jeruk Siam,483006.0,2015
212,SUMATERA BARAT,Jeruk Siam,64548.0,2015
213,RIAU,Jeruk Siam,9874.0,2015
214,JAMBI,Jeruk Siam,13404.0,2015
215,SUMATERA SELATAN,Jeruk Siam,16141.0,2015
216,BENGKULU,Jeruk Siam,9049.0,2015
217,LAMPUNG,Jeruk Siam,6813.0,2015
218,KEP. BANGKA BELITUNG,Jeruk Siam,4076.0,2015
219,KEP. RIAU,Jeruk Siam,173.0,2015
220,DKI JAKARTA,Jeruk Siam,0.0,2015
221,JAWA BARAT,Jeruk Siam,54127.0,2015
222,JAWA TENGAH,Jeruk Siam,21427.0,2015
223,DI YOGYAKARTA,Jeruk Siam,3054.0,2015
224,JAWA TIMUR,Jeruk Siam,480396.0,2015
225,BANTEN,Jeruk Siam,699.0,2015
226,BALI,Jeruk Siam,129136.0,2015
227,NUSA TENGGARA BARAT,Jeruk Siam,3690.0,2015
228,NUSA TENGGARA TIMUR,Jeruk Siam,15832.0,2015
229,KALIMANTAN BARAT,Jeruk Siam,147371.0,2015
230,KALIMANTAN TENGAH,Jeruk Siam,5479.0,2015
231,KALIMANTAN SELATAN,Jeruk Siam,112301.0,2015
232,KALIMANTAN TIMUR,Jeruk Siam,12983.0,2015
233,KALIMANTAN UTARA,Jeruk Siam,1721.0,2015
234,SULAWESI UTARA,Jeruk Siam,128.0,2015
235,SULAWESI TENGAH,Jeruk Siam,3980.0,2015
236,SULAWESI SELATAN,Jeruk Siam,11080.0,2015
237,SULAWESI TENGGARA,Jeruk Siam,51231.0,2015
238,GORONTALO,Jeruk Siam,979.0,2015
239,SULAWESI BARAT,Jeruk Siam,58289.0,2015
240,MALUKU,Jeruk Siam,12100.0,2015
241,MALUKU UTARA,Jeruk Siam,2401.0,2015
242,PAPUA BARAT,Jeruk Siam,130.0,2015
243,PAPUA,Jeruk Siam,556.0,2015
244,INDONESIA,Jeruk Siam,1744339.0,2015
245,ACEH,Jeruk Besar,12021.0,2015
246,SUMATERA UTARA,Jeruk Besar,2956.0,2015
247,SUMATERA BARAT,Jeruk Besar,299.0,2015
248,RIAU,Jeruk Besar,370.0,2015
249,JAMBI,Jeruk Besar,345.0,2015
250,SUMATERA SELATAN,Jeruk Besar,479.0,2015
251,BENGKULU,Jeruk Besar,271.0,2015
252,LAMPUNG,Jeruk Besar,743.0,2015
253,KEP. BANGKA BELITUNG,Jeruk Besar,52.0,2015
254,KEP. RIAU,Jeruk Besar,33.0,2015
255,DKI JAKARTA,Jeruk Besar,15.0,2015
256,JAWA BARAT,Jeruk Besar,7442.0,2015
257,JAWA TENGAH,Jeruk Besar,17202.0,2015
258,DI YOGYAKARTA,Jeruk Besar,418.0,2015
259,JAWA TIMUR,Jeruk Besar,15160.0,2015
260,BANTEN,Jeruk Besar,146.0,2015
261,BALI,Jeruk Besar,305.0,2015
262,NUSA TENGGARA BARAT,Jeruk Besar,2460.0,2015
263,NUSA TENGGARA TIMUR,Jeruk Besar,3816.0,2015
264,KALIMANTAN BARAT,Jeruk Besar,1396.0,2015
265,KALIMANTAN TENGAH,Jeruk Besar,870.0,2015
266,KALIMANTAN SELATAN,Jeruk Besar,686.0,2015
267,KALIMANTAN TIMUR,Jeruk Besar,593.0,2015
268,KALIMANTAN UTARA,Jeruk Besar,78.0,2015
269,SULAWESI UTARA,Jeruk Besar,175.0,2015
270,SULAWESI TENGAH,Jeruk Besar,766.0,2015
271,SULAWESI SELATAN,Jeruk Besar,39377.0,2015
272,SULAWESI TENGGARA,Jeruk Besar,1529.0,2015
273,GORONTALO,Jeruk Besar,174.0,2015
274,SULAWESI BARAT,Jeruk Besar,288.0,2015
275,MALUKU,Jeruk Besar,571.0,2015
276,MALUKU UTARA,Jeruk Besar,480.0,2015
277,PAPUA BARAT,Jeruk Besar,62.0,2015
278,PAPUA,Jeruk Besar,175.0,2015
279,INDONESIA,Jeruk Besar,111753.0,2015
280,ACEH,Mangga,18689.0,2015
281,SUMATERA UTARA,Mangga,32173.0,2015
282,SUMATERA BARAT,Mangga,6712.0,2015
283,RIAU,Mangga,10248.0,2015
284,JAMBI,Mangga,4323.0,2015
285,SUMATERA SELATAN,Mangga,14557.0,2015
286,BENGKULU,Mangga,5055.0,2015
287,LAMPUNG,Mangga,30880.0,2015
288,KEP. BANGKA BELITUNG,Mangga,3288.0,2015
289,KEP. RIAU,Mangga,2208.0,2015
290,DKI JAKARTA,Mangga,5875.0,2015
291,JAWA BARAT,Mangga,310226.0,2015
292,JAWA TENGAH,Mangga,396636.0,2015
293,DI YOGYAKARTA,Mangga,36740.0,2015
294,JAWA TIMUR,Mangga,806645.0,2015
295,BANTEN,Mangga,35292.0,2015
296,BALI,Mangga,54554.0,2015
297,NUSA TENGGARA BARAT,Mangga,120697.0,2015
298,NUSA TENGGARA TIMUR,Mangga,55870.0,2015
299,KALIMANTAN BARAT,Mangga,5049.0,2015
300,KALIMANTAN TENGAH,Mangga,5007.0,2015
301,KALIMANTAN SELATAN,Mangga,8574.0,2015
302,KALIMANTAN TIMUR,Mangga,6541.0,2015
303,KALIMANTAN UTARA,Mangga,2517.0,2015
304,SULAWESI UTARA,Mangga,7496.0,2015
305,SULAWESI TENGAH,Mangga,15631.0,2015
306,SULAWESI SELATAN,Mangga,117205.0,2015
307,SULAWESI TENGGARA,Mangga,25868.0,2015
308,GORONTALO,Mangga,7512.0,2015
309,SULAWESI BARAT,Mangga,11227.0,2015
310,MALUKU,Mangga,9440.0,2015
311,MALUKU UTARA,Mangga,4671.0,2015
312,PAPUA BARAT,Mangga,679.0,2015
313,PAPUA,Mangga,748.0,2015
314,INDONESIA,Mangga,2178833.0,2015
315,ACEH,Manggis,1113.0,2015
316,SUMATERA UTARA,Manggis,7947.0,2015
317,SUMATERA BARAT,Manggis,20339.0,2015
318,RIAU,Manggis,3596.0,2015
319,JAMBI,Manggis,3495.0,2015
320,SUMATERA SELATAN,Manggis,2267.0,2015
321,BENGKULU,Manggis,2902.0,2015
322,LAMPUNG,Manggis,5419.0,2015
323,KEP. BANGKA BELITUNG,Manggis,1471.0,2015
324,KEP. RIAU,Manggis,192.0,2015
325,DKI JAKARTA,Manggis,0.0,2015
326,JAWA BARAT,Manggis,69314.0,2015
327,JAWA TENGAH,Manggis,12190.0,2015
328,DI YOGYAKARTA,Manggis,2165.0,2015
329,JAWA TIMUR,Manggis,29748.0,2015
330,BANTEN,Manggis,9760.0,2015
331,BALI,Manggis,10660.0,2015
332,NUSA TENGGARA BARAT,Manggis,7078.0,2015
333,NUSA TENGGARA TIMUR,Manggis,8.0,2015
334,KALIMANTAN BARAT,Manggis,995.0,2015
335,KALIMANTAN TENGAH,Manggis,759.0,2015
336,KALIMANTAN SELATAN,Manggis,1418.0,2015
337,KALIMANTAN TIMUR,Manggis,504.0,2015
338,KALIMANTAN UTARA,Manggis,61.0,2015
339,SULAWESI UTARA,Manggis,1188.0,2015
340,SULAWESI TENGAH,Manggis,1580.0,2015
341,SULAWESI SELATAN,Manggis,5290.0,2015
342,SULAWESI TENGGARA,Manggis,73.0,2015
343,GORONTALO,Manggis,0.0,2015
344,SULAWESI BARAT,Manggis,861.0,2015
